,Trap ID,Cs melanura_mean,w_body,w_storage,w_t_depth,runoff,drain,hyd_soil,TC3,TC2,TC1
0,CMCC004,609,0,3.6400001,7,1,5,1,0.060931,0.2070757,0.3535254
1,CMCC003,261.5,0,3.3199999,38,0.8,4,1,0.0485378,0.1995721,0.3467841
2,CMCC005,8,0,3.4000001,15,1,4,1,-0.0468004,0.076815,0.4468252
3,CMCC006,595,0,3.4000001,15,1,4,1,0.0075541,0.1301711,0.34587
4,CMCC009,364,0,3.6400001,7,1,5,1,0.0429883,0.1846996,0.3394262
5,CMCC013,108,0,3.4000001,15,1,4,1,0.0386677,0.1596518,0.3180712
6,CMCC017,40,0,3.1099999,61,0.8,2,0,0.0370057,0.1711535,0.3284029
7,CMCC016,36,0,8.54,30,1,5,1,0.0355192,0.1377985,0.3046628
8,CMCC019,11,0,0,200,0.65,5,1,-0.0079985,0.1083521,0.3795736
9,CMCC021,171.5,0,2.2,153,0.8,1,0,0.0142523,0.1494182,0.3366483
10,CMCC022,2676.5,0,3.6400001,7,1,5,1,0.0611799,0.224335,0.3613697
11,CMCC024,269,0,3.1099999,61,0.8,2,0,0.0487411,0.23502,0.3887241
12,CMCC026,1508.5,0,3.6400001,7,1,5,1,0.0583832,0.244216,0.394222
13,CMCC027,197.5,0,3.47,200,1,4,1,0.0018351,0.088298,0.3013186
14,CMCC029,70,0,3.6099999,38,0.8,4,1,0.0596485,0.2261349,0.3768774
15,CMCC028,2,0,5.46,15,1,4,1,0.0498163,0.2105978,0.3707181
16,CMCC068,146.5,0,3.6400001,7,1,5,1,-0.1472184,0.0445433,0.4297746
17,CMCC077,103.5,0,3.4000001,15,1,4,1,0.0596187,0.1927156,0.329738
18,CMCC081,0.5,0,0,200,0.65,5,1,0.010277,0.1188418,0.3081736
19,CMCC090,23.33333333,0,8.54,30,1,5,1,-0.0189306,0.0961439,0.3513477
20,CMCC093,475,0,3.6400001,7,1,5,1,0.050042,0.2048181,0.3509742
21,CMCC104,346,0,3.6400001,7,1,5,1,-0.0002069,0.1304466,0.3348038
22,CMCC105,5.5,0,5.46,15,1,4,1,-0.032245,0.038389,0.3805209
23,CMCC109,244,0,3.4000001,15,1,4,1,-0.0071801,0.0653786,0.3311071
24,CMCC111,495.5,0,0,200,0.65,5,1,-0.0877914,0.0551272,0.437062
25,CMCC043,52,0,2.2,153,0.8,1,0,-0.2321259,0.0069931,0.699675
26,CMCC108,159.5,0,3.3399999,38,0.8,4,1,0.0373249,0.1644568,0.3337149
27,CMCC072,519.5,0,2.95,61,0.65,1,0,0.0075466,0.1218067,0.3405385
28,CMCC123,104,0,3.6500001,7,0.5,4,1,0.0460955,0.1840947,0.3369679
29,CMCC124,67,0,3.4000001,200,1,4,1,0.0389825,0.1840705,0.3718171
30,CMCC121,225.5,0,3.6400001,7,1,5,1,0.0137211,0.1476808,0.3364782
31,CMCC141,19,0,3.6400001,7,1,5,1,0.0438628,0.2015374,0.3543435
32,CMCC144,6.5,0,3.46,153,0.65,1,0,-0.0168362,0.0723412,0.3976348
33,CMCC146,25.33333333,0,5.46,15,1,4,1,0.0467991,0.1472829,0.289777
34,CMCC145,22.33333333,0,8.54,30,1,5,1,0.0422436,0.1760226,0.3250089
35,CMCC153,57.33333333,0,5.46,15,1,4,1,0.0451341,0.1827101,0.3423035
36,CMCC154,46,0,3.6099999,38,0.8,4,1,0.0344209,0.2016956,0.3869865
37,CMCC155,290.5,0,3.6400001,7,1,5,1,0.0563937,0.2106677,0.3577792
38,CMCC156,22.33333333,0,3.4000001,15,1,4,1,0.027496,0.134826,0.3505192
39,CMCC158,1,0,0,200,0.65,5,1,-0.0118998,0.0882795,0.3241784
40,CMCC165,17.66666667,0,3.4000001,15,1,4,1,0.0445404,0.1663982,0.3168695
41,CMCC168,154,0,2.03,200,1,2,0,0.0479403,0.2293804,0.3845764
42,CMCC170,3,0,3.47,200,1,4,1,-0.0037849,0.0705945,0.3326949
43,CMCC171,321,0,3.6400001,7,1,5,1,0.0364155,0.1684026,0.3272167
44,CMCC172,11,0,5.46,15,1,4,1,0.011216,0.1534309,0.3664119
45,CMCC175,78,1,0,200,0.65,5,1,-0.0797582,-0.0376659,0.4684169
46,CMCC177,6,0,5.46,15,1,4,1,0.0220417,0.1595557,0.3553331
47,CMCC181,25.5,0,3.1099999,61,0.8,2,0,0.0113364,0.0367834,0.2527632
48,CMCC188,31.5,0,3.1099999,61,0.8,2,0,0.0527768,0.2081775,0.3542587
49,CMCC190,145.5,0,3.47,200,1,4,1,-0.0268155,0.1037095,0.4119662
50,CMCC191,25.5,0,3.4000001,15,1,4,1,0.020558,0.1961756,0.4042261
51,CMCC199,145,0,3.3199999,38,0.8,4,1,0.0210978,0.1519115,0.3706286
52,CMCC200,1051,0,3.4000001,15,1,4,1,0.0002165,0.0975157,0.3356976
53,CMCC203,32.66666667,0,3.76,15,0.5,4,1,-0.0693907,0.1496585,0.4415655
54,CMCC213,237,0,3.25,61,0.8,2,0,0.0198183,0.1172315,0.3073284
55,CMCC216,767.5,0,3.6500001,7,0.5,4,1,0.0276637,0.1875168,0.3736835
56,CMCC230,228,0,3.6400001,7,1,5,1,-0.007814,0.1030854,0.365985
57,CMCC234,30.5,0,3.4000001,15,1,4,1,-0.0340148,0.0929817,0.4408061
